"","logFC","logCPM","PValue","FDR"
"Poll",1.05077899744978,3.77263659826936,0.0038396392649929,0.274558953213303
"Erdr1",2.28595599063758,5.57506946930276,0.00385344067704411,0.274558953213303
"Dad1",0.733608497906332,6.7339394643184,0.00389142777022753,0.274558953213303
"Sphk1",0.993178539823825,5.77273942832898,0.00394655476015601,0.274558953213303
"Ctdspl2",-0.911495436807603,4.61829938639428,0.00396383225542766,0.274558953213303
"Cnppd1",0.643876456886605,6.44968329945493,0.00399521321676011,0.274558953213303
"Nr2f2",0.638189596691961,6.36355575928785,0.0039969355062658,0.274558953213303
"Mtr",-1.05487366777909,3.70298938842117,0.004005395194678,0.274558953213303
"Hoxb6",0.851650878520594,2.01668103440046,0.00403657473737818,0.274558953213303
"Nupl1",-0.957708393617636,4.52045949220616,0.00406235741977877,0.274558953213303
"Pcdhga9",-2.16529014321833,-0.0376152735533087,0.00408460835098168,0.274558953213303
"Rnf220",0.808099944503007,6.49295850153467,0.00409618108562074,0.274558953213303
"Tssc4",0.970043180944272,5.21523505724388,0.00410015161342786,0.274558953213303
"Pagr1a",0.670880061847421,5.28519581421427,0.00410108792904255,0.274558953213303
"Ppp1r12b",-2.37217739826537,2.83314481065499,0.00411006710752829,0.274558953213303
"Il11ra1",1.15889246044207,6.0221816600661,0.00415764505825664,0.274558953213303
"Uvssa",-0.986033273270241,4.55202212870635,0.00417581117682608,0.274558953213303
"Cdk12",-0.909130421621212,5.43748484017314,0.00418904668408,0.274558953213303
"Trdmt1",-0.657815519952081,3.90418972351406,0.00419430917687856,0.274558953213303
"Nav3",-4.65082575044319,-0.211571619545327,0.00419907694911429,0.274558953213303
"Trp53i13",0.88210924733149,4.29669185025289,0.00420930477038675,0.274558953213303
"Tmub2",0.622892087760484,5.74728438344872,0.00420959781557519,0.274558953213303
"Mir703",2.77720488037204,3.80038883438552,0.00421954031338738,0.274558953213303
"Smpd2",0.826548306607564,5.00870390038799,0.0042226075567507,0.274558953213303
"Tha1",1.33509190607845,3.52055189831941,0.00429961699090627,0.275550651132166
"1600002K03Rik",1.2781577401994,3.16917422373287,0.0043079949159244,0.275550651132166
"Sntb2",-1.33549982420465,4.32166622696399,0.00431299477092295,0.275550651132166
"Naprt1",1.05529449197393,3.83096186415609,0.00434256934853728,0.275550651132166
"Slc35a3",-0.790437430966493,5.31962478906747,0.00436705961003044,0.275550651132166
"Abhd2",-2.28723760396648,5.2099000040608,0.00440733440929646,0.275550651132166
"Nutf2",0.864000030568845,2.79831231788999,0.00441442006474712,0.275550651132166
"Bod1",0.697749393590921,5.55265249449095,0.00442426270482238,0.275550651132166
"Csnk2a1",0.684932945911887,6.60839960324027,0.00445104717236284,0.275550651132166
"E230029C05Rik",-3.22924476597314,-0.191020369411228,0.00449098672394693,0.275550651132166
"Zc3h12c",-1.25264124059271,3.87859736276868,0.00449776802429266,0.275550651132166
"Rnf214",-0.752598638172989,4.60444455752385,0.00449887598131142,0.275550651132166
"Spr",0.778359302960399,5.47115066312253,0.00450028400849896,0.275550651132166
"Pcdhgb6",-2.68689026152057,2.10433812942143,0.00451697088849376,0.275550651132166
"Hspa1a",-1.58529948609393,4.91395559831218,0.00451947815280938,0.275550651132166
"Egr3",-3.37827388051259,0.664543546866787,0.00453346320110328,0.275550651132166
"Zbtb41",-0.706294558302721,4.89846779287808,0.00454485913994254,0.275550651132166
"Rhebl1",1.24153940067023,2.49654245094736,0.0045912145138709,0.275550651132166
"Atp6ap1",0.559372866023057,7.98105099301736,0.00460912441189245,0.275550651132166
"Ghrl",1.94891798032992,1.52965382332265,0.00463036883873834,0.275550651132166
"Zfp707",0.869685218733782,3.91025860847187,0.00463162526756796,0.275550651132166
"Cbwd1",-0.659295773864747,3.48014640956717,0.00463291417348314,0.275550651132166
"Ino80",-0.831245016876343,5.22611179089532,0.00470075318185934,0.277052511327063
"Nr4a1",-1.63506816005436,6.45478151941465,0.00471737983944213,0.277052511327063
"Prr13",0.764810649395601,7.04402977749801,0.00472230749755611,0.277052511327063
"Yod1",-1.81009424220453,2.75081843706357,0.00474773188855543,0.277052511327063
"Cxx1b",0.949716452799315,5.15307374244367,0.00475113352753965,0.277052511327063
"Ccdc85b",1.03219773822037,5.8671853476827,0.00481193478304185,0.277052511327063
"Cbx8",0.965734370393758,2.99284679798214,0.00481866753434623,0.277052511327063
"Creb5",-2.70183971367775,2.08476110664426,0.0048541935620301,0.277052511327063
"Pdcd7",0.675501104491095,4.47228907578896,0.00485442380767119,0.277052511327063
"Gnpda2",-0.642542631063203,4.57033485920385,0.00487798121512352,0.277052511327063
"Rpp25l",1.03269853797506,4.52792965461808,0.0049026933235602,0.277052511327063
"Lysmd3",-1.50242516100107,4.30431038250796,0.00490665184981828,0.277052511327063
"Klhl28",-1.61182860759407,2.72690339823155,0.00497585668233003,0.277052511327063
"Gatsl3",0.80822236466047,3.73846879279449,0.00498675891975013,0.277052511327063
"Casp8ap2",-1.46649224634634,4.22178560807469,0.00499709890667292,0.277052511327063
"Zdhhc12",0.855677645859426,4.15915862753496,0.00500677853361814,0.277052511327063
"Sytl5",-1.96355381585246,0.0749246990395655,0.00503666011857521,0.277052511327063
"Iapp",-4.01509257655304,0.661264002284053,0.00504105391930721,0.277052511327063
"Lilra6",-1.72286196886352,1.72261010044919,0.00504228973460342,0.277052511327063
"Adprhl2",0.789607682851313,4.79042839269836,0.0050479426021304,0.277052511327063
"Hira",-0.52627439708155,5.13877805241892,0.00504990267638188,0.277052511327063
"Nup153",-0.918101718321212,6.33158217533781,0.00509397811302765,0.277052511327063
"Pbx4",2.01810224700139,2.14821411673722,0.00510533005085881,0.277052511327063
"Neb",-1.90651022146084,0.727877132464619,0.00513528155560721,0.277052511327063
"Kdelr1",0.63985925685737,7.15221421257267,0.00514397880339317,0.277052511327063
"Med13",-0.888016183633155,6.44883043302452,0.00516417056645784,0.277052511327063
"Fam13b",-1.28500914824719,4.95721468633793,0.00517407168577439,0.277052511327063
"Nckap1",-1.31369580951195,6.46086817034533,0.00518312352622852,0.277052511327063
"Uba6",-1.17048495857339,3.87311786303952,0.00518398447482324,0.277052511327063
"Tmem245",-1.55596889063478,4.6011612065448,0.00521340323132451,0.277052511327063
"Rgn",-2.10623009450767,-0.247707505825455,0.00521786743392122,0.277052511327063
"Rpn1",0.703141040704132,8.19822885441029,0.00527879197097901,0.278325544583732
"Prpf40a",-0.825150665418662,5.96441448003598,0.0052799757449939,0.278325544583732
"Aamp",0.89385686381962,7.44970367090259,0.00529915052686928,0.278325544583732
"B230219D22Rik",-0.956595337266844,6.64787699683356,0.00533899875799997,0.278325544583732
